,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,Join_Count,TARGET_FID,JOIN_FID,COMID,FDATE,Resolution,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,WBAREACOMI,FTYPE,FCODE,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Hydroseq,LevelPathI,Pathlength,TerminalPa,ArbolateSu,Divergence,StartFlag,TerminalFl,DnLevel,UpLevelPat,UpHydroseq,DnLevelPat,DnMinorHyd,DnDrainCou,DnHydroseq,FromMeas,ToMeas,RtnDiv,AreaSqKM,TotDASqKM,DivDASqKM,Tidal,TOTMA,HWNodeSqKM,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,ELEVFIXED,HWTYPE,SLOPELENKM,LakeFract,SurfArea,RAreaHLoad,FCODEDesc,ONOFFNET,PopupTitle,PopupSubti,Shape__Len,OBJECTID_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,Shape__Are,Shape__L_1,Shape_Leng,geometry,fcode,stream_order,
11,Site-011,Base,None,-73.77161209,41.22535322,lower_hudson_river_basin,418312.555,2.39E-06,3,1,12168,51,6229062,7/30/2008,Medium,NA,NA,0.661,2.0301E+12,6228142,Artifical Path,55800,3,3,3,200032000,200032000,200038000,200038000,70.879,200006000,11.193,0,0,0,2,200038000,200041000,200011000,0,1,200012000,0,100,0,0.3969,16.2243,16.2243,0,0.930882,0,0,5940,5941,5941,1.00E-05,0,NA,0.661,0.000446982,5306.53,0.184734,NA,1,Artifical Path,NA,0.006302046,12168,13-02,986221700.4,Croton,13,lower_hudson_river_basin,1655932349,280096.8646,0.006302046,c(602957.687047334, 4564501.30525601),55800,3
12,Site-012,Base,None,-73.82432945,41.59086292,lower_hudson_river_basin,1475502.467,6.78E-07,1,1,10758,53,6212160,9/6/1999,Medium,NA,NA,0.584,2.02001E+12,0,Stream/River,46006,3,1,1,200030000,200030000,200045000,200032000,122.045,200006000,2.311,0,0,0,3,200032000,200049000,200032000,0,1,200041000,0,25.2933,0,0.2538,3.0843,3.0843,0,0.0322697,0,0,7405,7564,7405,0.0027226,0,NA,0.584,0,0,0,Perennial,1,Stream/River,Perennial,0.005863209,10758,13-04,501756945.8,Fishkill Creek,13,lower_hudson_river_basin,898389501.5,217992.1984,0.00586321,c(597988.272022862, 4605019.22017886),46006,1
13,Site-013,Base,None,-74.17485842,41.5659246,lower_hudson_river_basin,501975.0659,1.99E-06,2,1,9289,55,6200104,7/4/1999,Medium,967542,Tin Brook,6.068,2.02001E+12,0,Stream/River,46006,3,2,2,200029000,200029000,200056000,200045000,204.798,200006000,30.689,0,0,0,3,200045000,200116000,200045000,0,1,200050000,0.90585,100,0,5.7267,51.3558,51.3558,0,0.205966,0,0,7539,10834,7539,0.00543012,0,NA,6.068,0,0,0,Perennial,1,Tin Brook,Perennial Stream/River,0.063383325,9289,13-06,2711385780,Roundout-Wallkill,13,lower_hudson_river_basin,4546402602,511508.1851,0.063383327,c(568799.004124503, 4601911.86017227),46006,2
14,Site-014,Base,None,-73.40482199,42.42968251,lower_hudson_river_basin,1475502.467,6.78E-07,1,1,8042,63,6188930,9/6/1999,Medium,965710,South Branch Wyomanock Creek,5.394,2.02001E+12,0,Stream/River,46006,4,1,1,200104000,200029000,200117000,200117000,260.846,200006000,5.394,0,1,0,3,0,0,200034000,0,1,200036000,0,100,0,17.5122,17.5122,17.5122,0,0.187043,2.2509,30805,20969,30805,20976,0.0187398,0,H,5.245,0,0,0,Perennial,1,South Branch Wyomanock Creek,Perennial Stream/River,0.052662893,8042,13-10,1342876652,Kinderhook Creek,13,lower_hudson_river_basin,2360417589,315231.7548,0.052662893,c(631217.920072378, 4698717.73910249),46006,1
15,Site-015,Base,None,-73.87472413,41.38007835,lower_hudson_river_basin,418312.555,2.39E-06,3,1,11053,50,6227212,9/6/1999,Medium,945793,Canopus Creek,1.656,2.0301E+12,0,Stream/River,46006,3,3,3,200031000,200031000,200034000,200023000,83.89,200006000,23.588,0,0,0,3,200023000,200036000,200023000,0,1,200032000,0,100,0,1.3905,22.8825,22.8825,0,0.0657735,0,0,7141,7869,7254,0.00371376,0,NA,1.656,0,0,0,Perennial,1,Canopus Creek,Perennial Stream/River,0.016225206,11053,13-01,6487088500,Lower Hudson Main Stem,13,lower_hudson_river_basin,6338425116,1370292.143,0.016225207,c(594092.468416096, 4581561.59868148),46006,3
16,Site-016,Base,None,-74.32813986,41.26906341,lower_hudson_river_basin,418312.555,2.39E-06,3,1,9185,55,6202858,8/20/2005,Medium,970752,Wawayanda Creek,0.699,2.02001E+12,0,Stream/River,46006,4,3,3,200030000,200030000,200028000,200020000,292.831,200006000,55.111,0,0,0,4,200020000,200038000,200020000,0,1,200027000,0,100,0,0.2808,66.2553,66.2553,0,0.0309178,0,0,15776,15806,15786,0.00028612,0,NA,0.699,0,0,0,Perennial,1,Wawayanda Creek,Perennial Stream/River,0.007416904,9185,13-06,2711385780,Roundout-Wallkill,13,lower_hudson_river_basin,4546402602,511508.1851,0.007416904,c(556274.230727385, 4568843.98539012),46006,3
17,Site-017,Base,None,-73.73526137,42.19375836,lower_hudson_river_basin,501975.0659,1.99E-06,2,1,8538,63,6188984,7/22/2008,Medium,955964,Loomis Creek,4.541,2.02001E+12,0,Stream/River,46006,5,2,2,200029000,200029000,200056000,200056000,217.37,200006000,13.624,0,0,0,4,200056000,200066000,200024000,0,1,200024000,0,100,0,5.1201,20.2365,20.2365,0,0.173213,0,0,4011,7472,4011,0.00762166,0,NA,4.541,0,0,0,Perennial,1,Loomis Creek,Perennial Stream/River,0.048362516,8538,13-10,1342876652,Kinderhook Creek,13,lower_hudson_river_basin,2360417589,315231.7548,0.048362517,c(604425.139479935, 4672063.51146929),46006,2
18,Site-018,Base,None,-73.70868879,42.6918327,lower_hudson_river_basin,418312.555,2.39E-06,4,1,8852,50,6186200,7/22/2008,Medium,970226,Hudson River,4.18,2.02001E+12,120049691,Artifical Path,55800,1,7,7,200028000,200028000,200007000,200006000,240.435,200006000,13526.1,0,0,0,1,200006000,200007000,200006000,0,1,200007000,0,100,0,32.7834,21372.9,21372.9,1,0,0,0,-40,0,0,1.00E-05,0,NA,4.18,0,0,0,NA,1,Hudson River,Artifical Path,0.040526924,8852,13-01,6487088500,Lower Hudson Main Stem,13,lower_hudson_river_basin,6338425116,1370292.143,0.040526923,c(605777.857317122, 4727402.57293366),55800,4
19,Site-019,Base,None,-73.67585305,41.38733705,lower_hudson_river_basin,418312.555,2.39E-06,4,1,12212,51,6228576,7/30/2008,Medium,969115,West Branch Croton River,2.732,2.0301E+12,6224940,Artifical Path,55800,3,4,4,200031000,200031000,200022000,200015000,93.806,200006000,98.379,0,0,0,3,200015000,200022000,200015000,0,1,200016000,0,100,0,3.4947,122.921,122.921,0,21.9491,0,0,9113,9393,9389,1.46E-05,0,NA,2.732,0.603609,1385690,2.94991,NA,1,West Branch Croton River,Artifical Path,0.025782452,12212,13-02,986221700.4,Croton,13,lower_hudson_river_basin,1655932349,280096.8646,0.025782452,c(610709.556208489, 4582602.47621937),55800,4
20,Site-020,Base,None,-74.51073916,41.40094241,lower_hudson_river_basin,418312.555,2.39E-06,3,1,9135,55,6201924,7/14/1999,Medium,970233,Indigot Creek,2.004,2.02001E+12,0,Stream/River,46006,4,3,3,200029000,200029000,200050000,200036000,277.603,200006000,19.433,0,0,0,4,200036000,200066000,200036000,0,1,200045000,0,100,0,2.6298,30.5811,30.5811,0,0.0799467,0,0,18199,18759,18231,0.00263473,0,NA,2.004,0,0,0,Perennial,1,Indigot Creek,Perennial Stream/River,0.020323131,9135,13-06,2711385780,Roundout-Wallkill,13,lower_hudson_river_basin,4546402602,511508.1851,0.020323133,c(540897.292318808, 4583382.50566603),46006,3
